this file represents the data of the landing of Bereshit space craft on rhe moon.
the best result in term of fuel left in the space craft is in the log below, we managed to land Bereshit with 24.918 liters of fuel

this is the log of the landing
                ||
                ||
               \\//
                \/

Time: 10  Height: 13224.514  VS: 25.183  fuel:119.446  Weight: 284.446  Acceleration: 1.55  Rotation: 59.528  Distance: 9.26 km
Time: 20  Height: 12974.591  VS: 24.855  fuel:117.892  Weight: 282.892  Acceleration: 1.559  Rotation: 60.776  Distance: 18.386 km
Time: 30  Height: 12727.613  VS: 24.583  fuel:116.338  Weight: 281.338  Acceleration: 1.568  Rotation: 59.294  Distance: 27.377 km
Time: 40  Height: 12482.287  VS: 24.486  fuel:114.784  Weight: 279.784  Acceleration: 1.576  Rotation: 59.584  Distance: 36.233 km
Time: 50  Height: 12237.823  VS: 24.435  fuel:113.23  Weight: 278.23  Acceleration: 1.585  Rotation: 60.9  Distance: 44.952 km
Time: 60  Height: 11993.435  VS: 24.458  fuel:111.676  Weight: 276.676  Acceleration: 1.594  Rotation: 59.493  Distance: 53.535 km
Time: 70  Height: 11748.404  VS: 24.563  fuel:110.122  Weight: 275.122  Acceleration: 1.603  Rotation: 60.867  Distance: 61.98 km
Time: 80  Height: 11501.799  VS: 24.758  fuel:108.568  Weight: 273.568  Acceleration: 1.612  Rotation: 59.525  Distance: 70.286 km
Time: 90  Height: 11252.74  VS: 25.053  fuel:107.014  Weight: 272.014  Acceleration: 1.621  Rotation: 60.973  Distance: 78.453 km
Time: 100  Height: 11000.111  VS: 25.457  fuel:105.46  Weight: 270.46  Acceleration: 1.631  Rotation: 59.714  Distance: 86.48 km
Time: 110  Height: 10742.816  VS: 25.983  fuel:103.906  Weight: 268.906  Acceleration: 1.64  Rotation: 61.257  Distance: 94.365 km
Time: 120  Height: 10479.738  VS: 26.564  fuel:102.352  Weight: 267.352  Acceleration: 1.65  Rotation: 59.108  Distance: 102.109 km
Time: 130  Height: 10210.127  VS: 27.269  fuel:100.794  Weight: 265.794  Acceleration: 1.681  Rotation: 59.779  Distance: 109.709 km
Time: 140  Height: 9934.366  VS: 27.803  fuel:99.183  Weight: 264.183  Acceleration: 1.762  Rotation: 60.532  Distance: 117.164 km
Time: 150  Height: 9654.872  VS: 28.057  fuel:97.506  Weight: 262.506  Acceleration: 1.846  Rotation: 61.386  Distance: 124.466 km
Time: 160  Height: 9374.477  VS: 27.98  fuel:95.762  Weight: 260.762  Acceleration: 1.93  Rotation: 59.612  Distance: 131.608 km
Time: 170  Height: 9096.142  VS: 27.682  fuel:93.952  Weight: 258.952  Acceleration: 2.017  Rotation: 59.743  Distance: 138.583 km
Time: 180  Height: 8822.295  VS: 27.08  fuel:92.075  Weight: 257.075  Acceleration: 2.105  Rotation: 59.327  Distance: 145.383 km
Time: 190  Height: 8555.772  VS: 26.346  fuel:90.161  Weight: 255.161  Acceleration: 2.128  Rotation: 59.937  Distance: 152.003 km
Time: 200  Height: 8296.334  VS: 25.673  fuel:88.248  Weight: 253.248  Acceleration: 2.144  Rotation: 60.204  Distance: 158.438 km
Time: 210  Height: 8043.073  VS: 25.032  fuel:86.334  Weight: 251.334  Acceleration: 2.161  Rotation: 59.122  Distance: 164.688 km
Time: 220  Height: 7795.627  VS: 24.46  fuel:84.42  Weight: 249.42  Acceleration: 2.177  Rotation: 59.275  Distance: 170.751 km
Time: 230  Height: 7552.849  VS: 24.092  fuel:82.507  Weight: 247.507  Acceleration: 2.194  Rotation: 60.976  Distance: 176.627 km
Time: 240  Height: 7310.843  VS: 24.646  fuel:80.593  Weight: 245.593  Acceleration: 2.211  Rotation: 46.161  Distance: 182.312 km
Time: 250  Height: 7087.902  VS: 20.52  fuel:78.679  Weight: 243.679  Acceleration: 2.229  Rotation: 49.391  Distance: 187.82 km
Time: 260  Height: 6891.567  VS: 19.42  fuel:76.766  Weight: 241.766  Acceleration: 2.246  Rotation: 58.444  Distance: 193.153 km
Time: 270  Height: 6697.38  VS: 19.406  fuel:74.852  Weight: 239.852  Acceleration: 2.264  Rotation: 58.657  Distance: 198.293 km
